First Name,Email ID,Quantity,Events,Attendee Status,College Name,How did you come to know about this event?,"Specify in ""Others"" (how did you come to know about this event)",Designation,Year of Graduation,City,CGPA,Experience with python (Months),Family Income,Expected salary (Lac),Leadership- skills,Family Income Numeric
Rodney,rodney@xyz.com,1,Internship Program(IP) Success Conclave,Attending,pillai college of engineering new panvel,Instagram,Team entity,Students,2023,Ahemdabad,8.5,6,0-2 Lakh,21,no ,1.0
Ramon,ramon@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vidyalankar institute of technology, mumbai",Instagram,Team entity,BE CS,2024,Dwarka,7.9,5,0-2 Lakh,9,yes,1.0
Antonia,antonia@xyz.com,1,Internship Program(IP) Success Conclave,Attending,g h raisoni institut of engineering and technology pune,Instagram,Team entity,Computer applications,2025,Jamnagar,8.3,6,2-5 Lakh,7,no,3.5
Devin,devin@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Instagram,Team entity,Executive Security Operations Center (SOC),2024,Kheda,7.5,6,2-5 Lakh,5,yes,3.5
Benton,benton@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"kle society's college of bca, rls institute, belagavi",Instagram,Team entity,Students,2024,Nadiad,9.9,5,2-5 Lakh,21,no,3.5
Roberto,roberto@xyz.com,1,Internship Program(IP) Success Conclave,Attending,g h raisoni institut of engineering and technology pune,Instagram,Team entity,Students,2025,Navsari,7.6,7,2-5 Lakh,8,no,3.5
Alex,alex@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Instagram,Team entity,Students,2025,Rajkot,7.7,3,2-5 Lakh,20,no,3.5
Connie,connie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"priyadarshini college of engineering, nagpur ",Instagram,Team entity,BE IT,2023,Ambala,7.6,3,0-2 Lakh,24,no ,1.0
Elijah,elijah@xyz.com,1,Internship Program(IP) Success Conclave,Attending,st.francis institute of technology,Instagram,Team entity,Students,2023,Chandigarh,8.7,3,0-2 Lakh,17,no ,1.0
Jasmine,jasmine@xyz.com,1,Internship Program(IP) Success Conclave,Attending,new horizon institute of technology and management ,Instagram,Team entity,Students,2024,Faridabad,9.5,3,2-5 Lakh,11,yes,3.5
Rachel,rachel@xyz.com,1,Internship Program(IP) Success Conclave,Attending,late g. n. sapkal college of engineering,Instagram,Team entity,Web Development,2025,Gurugram,6.9,3,5-7 Lakh,21,yes,6.0
Treena,treena@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"mit academy of engineering ,alandi",Instagram,Team entity,Students,2026,Jind,6.9,5,0-2 Lakh,9,no,1.0
Erin,erin@xyz.com,1,Internship Program(IP) Success Conclave,Attending,wilson college ,Instagram,Team entity,Students,2024,Nizambad,7.5,3,0-2 Lakh,7,yes,1.0
Dewayne,dewayne@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"ld college of engineering, ahmedabad, gujarat ",Instagram,Team entity,Mechanical Engineer,2025,Aligarh,6.9,7,5-7 Lakh,30,no,6.0
Rickey,rickey@xyz.com,1,Internship Program(IP) Success Conclave,Attending,g h raisoni institut of engineering and technology pune,Instagram,Team entity,Students,2023,Gonda,7.6,5,7 Lakh+,24,no,8.0
Janie,janie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Instagram,Team entity,Students,2024,Ghaziabad,7.3,5,0-2 Lakh,19,yes,1.0
Harold,harold@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vishwakarma institute of technology, pune",Instagram,Team entity,Students,2026,Gonda,6.7,6,0-2 Lakh,21,yes,1.0
Veta,veta@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"kle society's college of bca, rls institute, belagavi",Instagram,Team entity,IT,2024,Gorakhpur,8.7,3,0-2 Lakh,17,no ,1.0
Brandy,brandy@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"priyadarshini college of engineering, nagpur ",Instagram,Team entity,Engineering ,2023,Hamirpur,6.7,6,0-2 Lakh,18,no ,1.0
Ken,ken@xyz.com,1,Internship Program(IP) Success Conclave,Attending,new horizon institute of technology and management ,Instagram,Team entity,Students,2025,Budaun,7.2,5,0-2 Lakh,8,yes,1.0
Erick,erick@xyz.com,1,Internship Program(IP) Success Conclave,Attending,late g. n. sapkal college of engineering,Instagram,Team entity,Students,2025,Jhansi,8.5,5,0-2 Lakh,8,no,1.0
Lewis,lewis@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"symbiosis institute of technology, pune",Instagram,Team entity,Students,2024,Kanpur,6.5,7,0-2 Lakh,8,no,1.0
Terrance,terrance@xyz.com,1,Internship Program(IP) Success Conclave,Attending,a. c. patil college of engineering,Instagram,Team entity,Students,2023,Mathura,9.5,5,0-2 Lakh,8,yes,1.0
Milton,milton@xyz.com,1,Internship Program(IP) Success Conclave,Attending,wilson college ,Instagram,Team entity,Computer applications,2023,Mainpuri,8.1,3,0-2 Lakh,9,no,1.0
Alfred,alfred@xyz.com,1,Internship Program(IP) Success Conclave,Attending,dkte society's textile and engineering institute ichalkaranji,Instagram,Team entity,Intern,2025,Almora,9.3,3,5-7 Lakh,17,no,6.0
Virgil,virgil@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"priyadarshini college of engineering, nagpur ",Instagram,Team entity,Civil Engineering,2024,Alipore,9.1,5,7 Lakh+,17,no,8.0
Clyde,clyde@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vidyalankar institute of technology, mumbai",Instagram,Team entity,Students,2025,Haora,7.6,5,0-2 Lakh,11,no,1.0
June,june@xyz.com,1,Internship Program(IP) Success Conclave,Attending,chhattisgarh swami vivekananda technical university teaching department bhilai,Instagram,Team entity,HoD,2023,Durgapur,7.8,3,0-2 Lakh,15,yes,1.0
Marjory,marjory@xyz.com,1,Internship Program(IP) Success Conclave,Attending,silicon institute of technology,Instagram,Team entity,Intern,2024,Hugli,7.9,6,0-2 Lakh,19,yes,1.0
Joni,joni@xyz.com,1,Internship Program(IP) Success Conclave,Attending,adhiyamaan college of engineering,Instagram,Team entity,Students,2023,Kolkata,8.5,7,0-2 Lakh,18,no ,1.0
Bessie,bessie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,don bosco college of engineering fatorda goa,Instagram,Team entity,Students,2026,Malda,8.7,5,2-5 Lakh,12,no ,3.5
Lisette,lisette@xyz.com,1,Internship Program(IP) Success Conclave,Attending,pillai college of engineering new panvel,Instagram,Team entity,BE IT,2024,Palashi,8.3,5,5-7 Lakh,23,yes,6.0
Alton,alton@xyz.com,1,Internship Program(IP) Success Conclave,Attending,st xavier's college ,Instagram,Team entity,Students,2025,Santipur,9.4,7,7 Lakh+,29,yes,8.0
Travis,travis@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vidyalankar institute of technology, mumbai",Instagram,Team entity,BE IT,2025,Siliguri,8.6,5,0-2 Lakh,9,no,1.0
Deandra,deandra@xyz.com,1,Internship Program(IP) Success Conclave,Attending,lokmanya tilak college of engineering koparkhairane navi mumbai,Instagram,Team entity,Students,2023,Silguri,8.5,6,0-2 Lakh,7,no,1.0
Bernard,bernard@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"priyadarshini college of engineering, nagpur ",Instagram,Team entity,Students,2024,Siuri,9.1,7,0-2 Lakh,17,no,1.0
Clair,clair@xyz.com,1,Internship Program(IP) Success Conclave,Attending,chhattisgarh swami vivekananda technical university teaching department bhilai,Instagram,Team entity,Engineering ,2023,Talmuk,7.5,5,0-2 Lakh,25,no,1.0
Marvin,marvin@xyz.com,1,Internship Program(IP) Success Conclave,Attending,silicon institute of technology,Instagram,Team entity,Software Engineer,2023,Siuri,7.2,6,0-2 Lakh,22,no,1.0
Bianca,bianca@xyz.com,1,Internship Program(IP) Success Conclave,Attending,don bosco college of engineering fatorda goa,Instagram,Team entity,BE CS,2026,Orchha,7.3,5,0-2 Lakh,9,no,1.0
Jane,jane@xyz.com,1,Internship Program(IP) Success Conclave,Attending,st xavier's college ,Instagram,Team entity,Students,2024,Satna,9.4,7,0-2 Lakh,15,yes,1.0
Regina,regina@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vidyalankar institute of technology, mumbai",Instagram,Team entity,Students,2024,Ujjain,6.6,6,2-5 Lakh,17,yes,3.5
Tyrone,tyrone@xyz.com,1,Internship Program(IP) Success Conclave,Attending,a. c. patil college of engineering,Instagram,Team entity,Students,2023,Akola,8.5,5,7 Lakh+,13,no ,8.0
Willene,willene@xyz.com,1,Internship Program(IP) Success Conclave,Attending,wilson college ,Instagram,Team entity,Students,2023,Aurangabad,7.7,3,0-2 Lakh,11,yes,1.0
Hazel,hazel@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"ld college of engineering, ahmedabad, gujarat ",Instagram,Team entity,Students,2024,Bhandara,8.1,7,0-2 Lakh,12,yes,1.0
Vickie,vickie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,dkte society's textile and engineering institute ichalkaranji,Instagram,Team entity,Students,2023,Bhsawal,7.9,7,0-2 Lakh,10,no,1.0
Gordon,gordon@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"ld college of engineering, ahmedabad, gujarat ",Instagram,Team entity,Students,2024,Bid,7.1,3,0-2 Lakh,10,no,1.0
Isaiah,isaiah@xyz.com,1,Internship Program(IP) Success Conclave,Attending,g h raisoni institut of engineering and technology pune,Instagram,Team entity,Students,2025,Buldhana,8.3,5,2-5 Lakh,10,no,3.5
Stewart,stewart@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Instagram,Team entity,Students,2025,Jalgaon,8.0,3,7 Lakh+,12,no,8.0
Youlanda,youlanda@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vishwakarma institute of technology, pune",Instagram,Team entity,Students,2024,Kalyan,6.5,5,0-2 Lakh,20,no,1.0
Patsy,patsy@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"kle society's college of bca, rls institute, belagavi",Instagram,Team entity,Students,2026,Thane,9.4,3,0-2 Lakh,21,no,1.0
Amanda,amanda@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"priyadarshini college of engineering, nagpur ",Instagram,Team entity,Students,2023,Navi Mumbai,6.8,6,0-2 Lakh,9,no,1.0
Rene,rene@xyz.com,1,Internship Program(IP) Success Conclave,Attending,st.francis institute of technology,Instagram,Team entity,Students,2025,Mumbai,6.7,7,0-2 Lakh,9,no,1.0
Natalie,natalie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,new horizon institute of technology and management ,Instagram,Team entity,Research Scholar,2023,Nagpur,7.9,5,0-2 Lakh,8,yes,1.0
Charlotte,charlotte@xyz.com,1,Internship Program(IP) Success Conclave,Attending,late g. n. sapkal college of engineering,Instagram,Team entity,Students,2024,Nanded,9.3,6,0-2 Lakh,21,yes,1.0
Rick,rick@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"symbiosis institute of technology, pune",Instagram,Team entity,Students,2025,Mahe,6.9,3,0-2 Lakh,21,no ,1.0
Concetta,concetta@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"mit academy of engineering ,alandi",Instagram,Team entity,Students,2024,Amritsar,8.9,5,0-2 Lakh,5,no ,1.0
Josie,josie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,a. c. patil college of engineering,Instagram,Team entity,Students,2023,Patiala,8.3,3,0-2 Lakh,16,yes,1.0
Philomena,philomena@xyz.com,1,Internship Program(IP) Success Conclave,Attending,wilson college ,Instagram,Team entity,Students,2025,Sangrur,7.2,7,0-2 Lakh,21,yes,1.0
Rachelle,rachelle@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"ld college of engineering, ahmedabad, gujarat ",Instagram,Team entity,Students,2024,Ajmer,8.1,6,0-2 Lakh,8,no,1.0
Eleanor,eleanor@xyz.com,1,Internship Program(IP) Success Conclave,Attending,a. c. patil college of engineering,Instagram,Team entity,Asst. Professor,2023,Bikaner,7.5,7,0-2 Lakh,9,yes,1.0
Evangeline,evangeline@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"ld college of engineering, ahmedabad, gujarat ",Instagram,Team entity,Data Science and Analyst,2023,Jalor,9.3,7,0-2 Lakh,24,no,1.0
Jordan,jordan@xyz.com,1,Internship Program(IP) Success Conclave,Attending,dkte society's textile and engineering institute ichalkaranji,Instagram,Team entity,Students,2025,Jhalwar,9.6,7,0-2 Lakh,17,no,1.0
Sue,sue@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"thakur institute of management studies, career development & research - [timscdr]",Instagram,Team entity,Students,2024,Jodhpur,9.1,7,0-2 Lakh,21,no,1.0
Christiane,christiane@xyz.com,1,Internship Program(IP) Success Conclave,Attending,lokmanya tilak college of engineering koparkhairane navi mumbai,Instagram,Team entity,Students,2023,Kota,7.3,5,0-2 Lakh,21,no,1.0
Ethel,ethel@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vidyalankar institute of technology, mumbai",Instagram,Team entity,Students,2025,Sikar,7.6,6,0-2 Lakh,9,yes,1.0
Dwayne,dwayne@xyz.com,1,Internship Program(IP) Success Conclave,Attending,chhattisgarh swami vivekananda technical university teaching department bhilai,Instagram,Team entity,Students,2023,Ahemdabad,8.0,7,0-2 Lakh,8,no ,1.0
Jodi,jodi@xyz.com,1,Internship Program(IP) Success Conclave,Attending,silicon institute of technology,Instagram,Team entity,Engineering ,2025,Amreli,7.2,7,0-2 Lakh,7,no ,1.0
Ronnie,ronnie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,adhiyamaan college of engineering,Instagram,Team entity,Students,2026,Dwarka,9.1,7,0-2 Lakh,25,yes,1.0
Leroy,leroy@xyz.com,1,Internship Program(IP) Success Conclave,Attending,pillai college of engineering new panvel,Instagram,Team entity,Students,2023,Jamnagar,7.1,7,0-2 Lakh,30,no,1.0
Lucinda,lucinda@xyz.com,1,Internship Program(IP) Success Conclave,NAN,st xavier's college ,Instagram,Team entity,Engineering ,2025,Junagadh,7.1,6,0-2 Lakh,24,no,1.0
Darla,darla@xyz.com,1,Internship Program(IP) Success Conclave,Attending,a. c. patil college of engineering,Instagram,Team entity,Students,2024,Morbi,9.2,7,0-2 Lakh,19,yes,1.0
Nellie,nellie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,wilson college ,Instagram,Team entity,Intern,2023,Nadiad,7.9,3,0-2 Lakh,21,no,1.0
Mae,mae@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"ld college of engineering, ahmedabad, gujarat ",Instagram,Team entity,Students,2023,Navsari,7.3,7,0-2 Lakh,17,no,1.0
Cameron,cameron@xyz.com,1,Internship Program(IP) Success Conclave,Attending,g h raisoni institut of engineering and technology pune,Instagram,Team entity,Intern,2025,Surat,9.1,5,0-2 Lakh,8,no,1.0
Leonor,leonor@xyz.com,1,Internship Program(IP) Success Conclave,Attending,government polytechnic gandhinagar,Instagram,Team entity,Students,2024,Valsad,6.9,6,0-2 Lakh,8,yes,1.0
Dennis,dennis@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Instagram,Team entity,Students,2023,Ambala,8.4,6,0-2 Lakh,8,yes,1.0
Beatrice,beatrice@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"kle society's college of bca, rls institute, belagavi",Instagram,Team entity,Students,2023,Faridabad,9.2,7,0-2 Lakh,25,no ,1.0
Leland,leland@xyz.com,1,Internship Program(IP) Success Conclave,Attending,new horizon institute of technology and management ,Instagram,Team entity,Students,2026,Vijaywada,9.9,7,0-2 Lakh,26,no,1.0
Geraldine,geraldine@xyz.com,1,Internship Program(IP) Success Conclave,Attending,late g. n. sapkal college of engineering,Instagram,Team entity,Students,2023,Eluru,7.6,7,0-2 Lakh,5,no,1.0
Chet,chet@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"mit academy of engineering ,alandi",Instagram,Team entity,Students,2024,Nagaon,6.4,5,0-2 Lakh,6,yes,1.0
Carrie,carrie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,a. c. patil college of engineering,Instagram,Team entity,Key Account manager,2025,Tezpur,8.4,3,0-2 Lakh,7,no,1.0
Odette,odette@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"ld college of engineering, ahmedabad, gujarat ",Instagram,Team entity,Civil Engineering,2024,Burani,7.8,5,0-2 Lakh,8,no,1.0
Carmella,carmella@xyz.com,1,Internship Program(IP) Success Conclave,Attending,dkte society's textile and engineering institute ichalkaranji,Instagram,Team entity,Engineering ,2023,Dehri,8.7,6,0-2 Lakh,5,no,1.0
Jerald,jerald@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"mit academy of engineering ,alandi",Instagram,Team entity,Students,2026,Aurangabad,7.2,6,0-2 Lakh,6,no,1.0
Stacy,stacy@xyz.com,1,Internship Program(IP) Success Conclave,Attending,a. c. patil college of engineering,Instagram,Team entity,Students,2025,Bhandara,7.1,6,0-2 Lakh,8,yes,1.0
Chester,chester@xyz.com,1,Internship Program(IP) Success Conclave,Attending,wilson college ,Instagram,Team entity,Intern,2024,Bhsawal,8.0,5,0-2 Lakh,11,yes,1.0
Morgan,morgan@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"ld college of engineering, ahmedabad, gujarat ",Instagram,Team entity,Students,2023,Bid,8.5,6,0-2 Lakh,20,no ,1.0
Marilu,marilu@xyz.com,1,Internship Program(IP) Success Conclave,Attending,dkte society's textile and engineering institute ichalkaranji,Instagram,Team entity,Students,2024,Buldhana,8.5,6,0-2 Lakh,5,no ,1.0
Kendall,kendall@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"thakur institute of management studies, career development & research - [timscdr]",Instagram,Team entity,Students,2023,Dhule,9.1,5,0-2 Lakh,7,yes,1.0
Jasmin,jasmin@xyz.com,1,Internship Program(IP) Success Conclave,Attending,lokmanya tilak college of engineering koparkhairane navi mumbai,Instagram,Team entity,Students,2024,Jalgaon,9.7,6,7 Lakh+,19,yes,8.0
Naomi,naomi@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"priyadarshini college of engineering, nagpur ",Instagram,Team entity,B Sc IT,2025,Kalyan,8.7,6,0-2 Lakh,5,no,1.0
Vernon,vernon@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vidyalankar institute of technology, mumbai",Instagram,Team entity,Civil Engineering,2023,Thane,6.5,3,5-7 Lakh,8,no,6.0
Rocky,rocky@xyz.com,1,Internship Program(IP) Success Conclave,Attending,chhattisgarh swami vivekananda technical university teaching department bhilai,Instagram,Team entity,Civil Engineering,2026,Navi Mumbai,8.8,7,2-5 Lakh,9,no,3.5
Chastity,chastity@xyz.com,1,Internship Program(IP) Success Conclave,Attending,silicon institute of technology,Instagram,Team entity,Students,2024,Mumbai,9.3,5,0-2 Lakh,13,yes,1.0
Magdalena,magdalena@xyz.com,1,Internship Program(IP) Success Conclave,Attending,adhiyamaan college of engineering,Instagram,Team entity,Students,2025,Nagpur,7.6,7,0-2 Lakh,15,no,1.0
Kristen,kristen@xyz.com,1,Internship Program(IP) Success Conclave,Attending,pillai college of engineering new panvel,Instagram,Team entity,Students,2025,Mahe,8.7,5,0-2 Lakh,12,no,1.0
Blanch,blanch@xyz.com,1,Internship Program(IP) Success Conclave,Attending,st xavier's college ,Instagram,Team entity,Civil Engineering,2023,Amritsar,9.1,3,0-2 Lakh,5,no,1.0
Myriam,myriam@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vidyalankar institute of technology, mumbai",Instagram,Team entity,Civil Engineering,2024,Patiala,9.2,6,0-2 Lakh,20,no,1.0
Arnold,arnold@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vidyalankar institute of technology, mumbai",Instagram,Team entity,Students,2026,Ajmer,7.6,3,0-2 Lakh,14,yes,1.0
Aracely,aracely@xyz.com,1,Internship Program(IP) Success Conclave,Attending,chhattisgarh swami vivekananda technical university teaching department bhilai,Instagram,Team entity,HoD,2023,Amer,7.1,5,0-2 Lakh,16,no ,1.0
Bernadette,bernadette@xyz.com,1,Internship Program(IP) Success Conclave,Attending,adhiyamaan college of engineering,Instagram,Team entity,Students,2023,Bikaner,9.2,5,0-2 Lakh,8,yes,1.0
Randall,randall@xyz.com,1,Internship Program(IP) Success Conclave,Attending,don bosco college of engineering fatorda goa,Instagram,Team entity,Students,2024,Jaipur,9.9,6,0-2 Lakh,27,yes,1.0
Clarice,clarice@xyz.com,1,Internship Program(IP) Success Conclave,Attending,pillai college of engineering new panvel,Instagram,Team entity,Students,2024,Jalor,9.3,7,0-2 Lakh,28,no,1.0
Ana,ana@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vidyalankar institute of technology, mumbai",Instagram,Team entity,B.Tech,2026,Jodhpur,7.5,3,0-2 Lakh,6,no,1.0
Tina,tina@xyz.com,1,Internship Program(IP) Success Conclave,Attending,government polytechnic gandhinagar,Instagram,Team entity,Students,2023,Kota,7.3,6,0-2 Lakh,8,yes,1.0
Crystal,crystal@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Instagram,Team entity,Students,2023,Pali,7.4,3,0-2 Lakh,21,no,1.0
Jimmy,jimmy@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vishwakarma institute of technology, pune",Instagram,Team entity,Students,2024,Sikar,8.3,7,0-2 Lakh,5,no,1.0
Diana,diana@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"kle society's college of bca, rls institute, belagavi",Instagram,Team entity,Students,2025,Ahemdabad,7.4,5,0-2 Lakh,21,no,1.0
Denise,denise@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"priyadarshini college of engineering, nagpur ",Instagram,Team entity,Students,2025,Amreli,6.7,6,0-2 Lakh,23,no,1.0
Tristan,tristan@xyz.com,1,Internship Program(IP) Success Conclave,Attending,st.francis institute of technology,Instagram,Team entity,B.Tech,2024,Dwarka,7.3,3,0-2 Lakh,9,no,1.0
Tressie,tressie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,new horizon institute of technology and management ,Instagram,Team entity,B.Tech,2023,Godhra,9.7,7,2-5 Lakh,17,yes,3.5
Erinn,erinn@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"mit academy of engineering ,alandi",Instagram,Team entity,Students,2024,Tirupati,7.1,7,2-5 Lakh,19,no ,3.5
Adell,adell@xyz.com,1,Internship Program(IP) Success Conclave,Attending,a. c. patil college of engineering,Instagram,Team entity,Students,2024,Vijaywada,8.7,3,2-5 Lakh,18,yes,3.5
Roderick,roderick@xyz.com,1,Internship Program(IP) Success Conclave,Attending,wilson college ,Instagram,Team entity,Students,2025,Eluru,8.7,5,2-5 Lakh,23,yes,3.5
Tim,tim@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"ld college of engineering, ahmedabad, gujarat ",Instagram,Team entity,Students,2025,Guwahati,8.2,5,2-5 Lakh,5,no,3.5
Phillis,phillis@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"thakur institute of management studies, career development & research - [timscdr]",Instagram,Team entity,Students,2023,Tezpur,7.1,6,2-5 Lakh,9,no,3.5
Monte,monte@xyz.com,1,Internship Program(IP) Success Conclave,Attending,lokmanya tilak college of engineering koparkhairane navi mumbai,Instagram,Team entity,Students,2024,Sivasagar,8.5,7,2-5 Lakh,9,yes,3.5
Todd,todd@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"priyadarshini college of engineering, nagpur ",Instagram,Team entity,Computer Engineer,2026,Burani,9.1,7,0-2 Lakh,17,no,1.0
Katie,katie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vidyalankar institute of technology, mumbai",Instagram,Team entity,Students,2024,Dehri,9.5,6,0-2 Lakh,19,no,1.0
Jake,jake@xyz.com,1,Internship Program(IP) Success Conclave,Attending,chhattisgarh swami vivekananda technical university teaching department bhilai,Instagram,Team entity,Students,2025,Chapra,6.7,5,2-5 Lakh,11,no,3.5
Wade,wade@xyz.com,1,Internship Program(IP) Success Conclave,Attending,silicon institute of technology,Instagram,Team entity,Students,2023,Darbhanga,6.7,3,5-7 Lakh,15,no,6.0
Pat,pat@xyz.com,1,Internship Program(IP) Success Conclave,Attending,adhiyamaan college of engineering,Instagram,Team entity,Engineering ,2025,Gaya,8.2,5,7 Lakh+,19,no,8.0
Kristopher,kristopher@xyz.com,1,Internship Program(IP) Success Conclave,Attending,pillai college of engineering new panvel,Instagram,Team entity,Students,2023,Jamalpur,8.7,7,0-2 Lakh,12,yes,1.0
Kirk,kirk@xyz.com,1,Internship Program(IP) Success Conclave,Attending,st xavier's college ,Instagram,Team entity,Students,2024,Kaithar,9.1,5,0-2 Lakh,23,no ,1.0
Harrison,harrison@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vidyalankar institute of technology, mumbai",Instagram,Team entity,Students,2026,Motihari,8.9,3,0-2 Lakh,8,no ,1.0
Milan,milan@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",Instagram,Team entity,Students,2023,Munger,7.4,5,2-5 Lakh,9,yes,3.5
Adrian,adrian@xyz.com,1,Internship Program(IP) Success Conclave,Attending,g h raisoni institut of engineering and technology pune,Instagram,Team entity,Students,2025,Patna,7.3,5,5-7 Lakh,7,yes,6.0
Beth,beth@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Instagram,Team entity,Students,2025,Sasaram,9.2,7,0-2 Lakh,19,no,1.0
Mazie,mazie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vishwakarma institute of technology, pune",Instagram,Team entity,Students,2024,Siwan,7.8,5,0-2 Lakh,25,no,1.0
Junior,junior@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"kle society's college of bca, rls institute, belagavi",Instagram,Team entity,Students,2023,Chandigarh,7.9,7,0-2 Lakh,22,yes,1.0
Abdul,abdul@xyz.com,1,Internship Program(IP) Success Conclave,Attending,government polytechnic gandhinagar,Instagram,Team entity,Students,2026,Bhilai,8.1,3,0-2 Lakh,9,no,1.0
Gabriel,gabriel@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Instagram,Team entity,Students,2025,Durg,9.5,3,0-2 Lakh,20,no,1.0
Damien,damien@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vishwakarma institute of technology, pune",Instagram,Team entity,Engineering ,2024,Raipur,9.8,6,0-2 Lakh,15,no,1.0
Bonita,bonita@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"kle society's college of bca, rls institute, belagavi",Instagram,Team entity,Students,2024,Daman,9.6,3,0-2 Lakh,17,no,1.0
Andres,andres@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"priyadarshini college of engineering, nagpur ",Instagram,Team entity,Intern,2025,Diu,9.6,7,0-2 Lakh,19,yes,1.0
Angelica,angelica@xyz.com,1,Internship Program(IP) Success Conclave,Attending,st.francis institute of technology,Instagram,Team entity,Students,2023,Silvassa,6.2,5,0-2 Lakh,13,yes,1.0
Sam,sam@xyz.com,1,Internship Program(IP) Success Conclave,Attending,new horizon institute of technology and management ,Instagram,Team entity,Students,2023,Delhi,9.1,5,0-2 Lakh,11,no ,1.0
Israel,israel@xyz.com,1,Internship Program(IP) Success Conclave,Attending,late g. n. sapkal college of engineering,Instagram,Team entity,Students,2026,New Delhi,7.2,7,0-2 Lakh,12,no ,1.0
Samantha,samantha@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"symbiosis institute of technology, pune",Instagram,Team entity,Computer applications,2024,Panji,9.5,3,2-5 Lakh,10,yes,3.5
